nombre,categoria,latitud,longitud
Capilla de la Piedad y Osario,Mirador,-15.3650609,-70.3669869
Hostal Palmeras,Hotel,-14.8812586,-70.590844
Hospedaje Buen Amanecer,Hotel,-14.8834804,-70.5857725
Hotel Gemely,Hotel,-14.8819848,-70.5895764
Hostal Pradera,Hotel,-14.8824789,-70.5891478
Hostal Copacabana,Hotel,-14.8811742,-70.5906643
Hotel Refugios,Hotel,-15.4858132,-70.159143
Cruz,Mirador,-14.8810079,-70.5813949
Hostal Mirador Korichaska,Hotel,-15.8523735,-70.0261626
Hotel Luna Palace,Hotel,-15.4824996,-70.1331085
Hotel Suites Juliaca,Hotel,-15.4859069,-70.1470721
Hostal Real Divina,Hotel,-15.4868657,-70.1334436
Hotel JJ Korisuyo Inn,Hotel,-15.4874772,-70.1434738
Hostal Oscar Inn,Hotel,-15.8424365,-70.0276913
Hostal Residencial Imperio,Hotel,-16.1661402,-69.0858912
Hostal Cali 2,Hotel,-16.1660875,-69.0858831
Hostal Raices,Hotel,-16.1661389,-69.0859294
Hostal Mirador Korichasca,Hotel,-15.8524836,-70.0261856
Hostal Milagros Inn,Hotel,-15.8424189,-70.027853
Hostal Amanecer,Hotel,-16.0377977,-69.146226
Museo Marina de Guerra,Museo,-15.8382793,-70.0222511
Urpi Wasi Backpackers,Hotel,-15.8426253,-70.0298963
HOTEL TURISTICO HANAN PACHA,Hotel,-15.8256543,-70.0105713
Complejo Arqueológico de Sillustani,Mirador,-15.7205732,-70.1581395
Chullpa Qaracachi – Qaracachi Chullpa,Mirador,-15.7201566,-70.1563854
Intiwatana,Mirador,-15.7208104,-70.1569051
Huancasaya,Mirador,-15.7211335,-70.1572477
Complejo Arquelógico de Sillustani – Sillustani Archaeological Complex,Mirador,-15.7235104,-70.1549564
Bienvenido a Sillustani – Welcome to Sillustani,Mirador,-15.7235133,-70.1548371
Chullpa de Plano de Planta Circular – Chullpa of Circular Plane of Plant Collao,Mirador,-15.720642,-70.1573768
Chullpa Qaracachi CH-01 – Qaracachi Chullpa CH-01,Mirador,-15.7194627,-70.1555914
Chullpa Qaracachi CH-04 – Qaracachi Chullpa CH-04,Mirador,-15.7197914,-70.1557359
Fauna,Mirador,-15.7208793,-70.1590491
Hatun Ayawasi Pampa,Mirador,-15.7230102,-70.1574033
Complejo Arquelógico de Sillustani,Mirador,-15.7231522,-70.1560675
Oro de Sillustani – Gold Sillustani,Mirador,-15.7227662,-70.1566932
Chullpa Lagarto CH-96 – Lizard Chullpa CH-96,Mirador,-15.7225545,-70.1568809
Chullpa,Mirador,-15.7223124,-70.1573322
Hallazgo del Tesoro de Sillustani – Find Sillustani Treasury,Mirador,-15.7224025,-70.1571652
Chullpa Ayawasi Aceruyoc Amaru “Serpiente” – Ayawasi Aceruyoc Amaru Chullpa “Snake”,Mirador,-15.7236511,-70.1565071
Enterramiento de Ofrendas – Burial of Offerings,Mirador,-15.7237936,-70.1565986
Chullpa Hatunwasi “Chambilla” CH-78 – Hatunwasi Chullpa “Chambilla” CH-78,Mirador,-15.7234572,-70.1576065
Chullpa Hatunwasi “Chambilla” – Hatunwasi Chullpa “Chambilla”,Mirador,-15.723426,-70.1580245
Chullpa Inca con Rampa CH-65 – Inca Chullpa with Ramp CH-65,Mirador,-15.7228553,-70.1581275
Panorama Etnico del Altiplano Meridional – Ethnic View Southern Highlands,Mirador,-15.72184,-70.1594324
Miguel Grau,Mirador,-15.835526,-70.0152656
Colonial Plaza Hotel,Hotel,-15.8411412,-70.0284454
Casa de Rocio,Hotel,-15.6927058,-69.7878983
Casa de Venancio,Hotel,-15.6971043,-69.7813034
Hostal Wiphala,Hotel,-15.9924467,-69.1912205
Ecolodge Inti Wata,Hotel,-15.9936361,-69.1894254
Hostal Margarita,Hotel,-15.9976952,-69.184533
Mosoq,Hotel,-15.8426127,-70.0250147
Kaypi Rosas y Wilber Wasi Amantani,Hotel,-15.6688901,-69.7045833
Hostal Sol y Lago,Hotel,-16.1735137,-69.091233
Qhana Pacha,Hotel,-16.0390582,-69.0703093
Macari Capital Hìpica de la Región Puno,Mirador,-14.7715554,-70.9028417
Hotel Tikas,Hotel,-14.9088219,-70.1978558
Hostal Virginie de l'as nieves,Hotel,-15.8393053,-70.0252875
Hostal Aka Pacha,Hotel,-15.9972407,-69.1843597
Puya Raimondii,Mirador,-15.1005359,-70.6278205
Hostal - Hs Merced,Hotel,-15.4836978,-70.1388479
Intiqa Hotel,Hotel,-15.8381166,-70.0291574
Mia Posada,Hotel,-16.1662184,-69.0850357
Puma umana (top of the hill),Mirador,-16.1680487,-69.5439937
V Estación,Mirador,-16.1613787,-69.0887188
VI Estación,Mirador,-16.1610687,-69.0890371
VII Estación,Mirador,-16.1608333,-69.0892866
VIII Estación,Mirador,-16.1610793,-69.0895902
XI Estación,Mirador,-16.1613798,-69.0901613
XII Estación,Mirador,-16.1616622,-69.0902942
XIII Estación,Mirador,-16.1615414,-69.0904285
IX Estación,Mirador,-16.1611394,-69.0898291
X Estación,Mirador,-16.1613594,-69.0899054
Uros TITIKAKA the best lodge,Hotel,-15.8141034,-69.9725784
